keyword,cluster,product_relevance,wordstat_broad,frequency_type,demand_scope,source_seed,region,device,collected_at,source_url
гороскоп года женщина,horoscope,RELEVANT,50407,broad,Yandex external demand proxy,гороскоп,Россия,Смартфоны,2026-07-29T18:50:56.118Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF
гороскоп рак женщина,horoscope,RELEVANT,50020,broad,Yandex external demand proxy,гороскоп,Россия,Смартфоны,2026-07-29T18:50:56.118Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF
гороскоп лев женщина,horoscope,RELEVANT,47905,broad,Yandex external demand proxy,гороскоп,Россия,Смартфоны,2026-07-29T18:50:56.118Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF
какие зодиак гороскопы,horoscope,RELEVANT,47073,broad,Yandex external demand proxy,гороскоп,Россия,Смартфоны,2026-07-29T18:50:56.118Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF
гороскоп овен женщина,horoscope,RELEVANT,44086,broad,Yandex external demand proxy,гороскоп,Россия,Смартфоны,2026-07-29T18:50:56.118Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF
гороскоп телец женщина,horoscope,RELEVANT,44022,broad,Yandex external demand proxy,гороскоп,Россия,Смартфоны,2026-07-29T18:50:56.118Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF
гороскоп тельцам женщинам,horoscope,RELEVANT,44015,broad,Yandex external demand proxy,гороскоп,Россия,Смартфоны,2026-07-29T18:50:56.118Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF
гороскоп ру,horoscope,RELEVANT,43751,broad,Yandex external demand proxy,гороскоп,Россия,Смартфоны,2026-07-29T18:50:56.118Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF
гороскоп рак на июль,horoscope,RELEVANT,42433,broad,Yandex external demand proxy,гороскоп,Россия,Смартфоны,2026-07-29T18:50:56.118Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF
гороскоп скорпион женщина,horoscope,RELEVANT,41790,broad,Yandex external demand proxy,гороскоп,Россия,Смартфоны,2026-07-29T18:50:56.118Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF
